0;1;2;3;4;5
224;Richard Burgin;1997;[''];['Dirección', 'Guion', 'Producción'];Sin Oscar
225;Rajpal Naurang Yadav;1971;[''];['Reparto', 'Guion', 'Dirección'];Sin Oscar
226;Sanjay Mishra;1963;[''];['Reparto', 'Cámara y electricidad', 'Composición'];Sin Oscar
227;Ellen Müller;No data;['En el lugar del crimen', '2021 • 1 episodio', '2022', 'Casting Agent 1', 'Serie de TV'];['Reparto'];Sin oscar
228;Nayana Sharath;No data;['Dwimukha', 'Kranti', 'Dhamaka', 'RC Brothers'];['Reparto'];Sin oscar
229;Hony Estrella;No data;['Amigo D', 'Todos los hombres son iguales', 'Rafaela', 'La Bruja'];['Reparto', 'Producción'];Sin Oscar
230;DeAnna Green;No data;['Jacob, Broken by God', '2,0', 'Nurse Ratchet'];['Reparto', 'Producción'];Sin oscar
231;Maya Millard;No data;['Save the Cinema'];['Reparto'];Sin oscar
232;James B. Potts;No data;[''];['Reparto', 'Equipos adicionales', 'Dirección'];Sin oscar
233;Sneha Biswas;No data;['Decay', '8,6', 'Rani', '2022'];['Reparto', 'Producción', 'Diseño de producción'];Sin oscar
234;Miranda Richardson;1958;[''];['Reparto', 'Banda sonora'];Nominado para 2 premios Óscar
235;Robin Ferro;No data;[''];['Reparto'];Sin oscar
236;Lola Moltó;No data;['El desentierro', 'Hospital Central', '2001–2006 • 2 episodios', '2015', '1996'];['Reparto'];Sin oscar
237;Melissa Ortiz;No data;[''];['Reparto'];Sin oscar
238;Ella Pellegrini;No data;"['Las amistades peligrosas', ""L'école de la vie"", '2021 • 1 episodio', 'Antigone Vigan', 'Reparto']";['Reparto'];Sin oscar
239;Jasmin Geljo;1959;[''];['Reparto', 'Dirección', 'Producción'];Sin Oscar
240;Maximilian Brückner;1979;[''];['Reparto'];Sin Oscar
241;Arthur De Larroche;No data;[''];['Reparto', 'Guion', 'Dirección'];Sin Oscar
242;Aaron Sahle;No data;['Know Your Place'];['Reparto'];Sin oscar
243;Aisling Doyle;No data;['La lista de Mr. Malcolm', 'Clean Sweep', '2023 • 1 episodio', 'Bea(voz)'];['Reparto'];Sin oscar
244;Malcolm Ellul;No data;[''];['Equipos adicionales', 'Reparto', 'Dirección de la segunda unidad o asistencia a dirección'];Sin Oscar
245;Pavana Gowda;No data;['Rudri', 'Aatagara', 'Fighter', 'Gowli'];['Reparto'];Sin Oscar
246;Jay O. Sanders;1953;[''];['Reparto', 'Equipos adicionales'];Sin oscar
247;Johnny Massaro;1992;[''];['Reparto', 'Dirección', 'Guion'];Sin Oscar
248;Aislinn Derbez;1986;[''];['Reparto', 'Producción', 'Composición'];Sin Oscar
249;Ava Kolker;2006;[''];['Reparto', 'Producción'];Sin Oscar
250;Jeffrey Moon;No data;[''];['Reparto', 'Producción', 'Especialistas'];Sin oscar
251;Patrick Caux;No data;[''];['Reparto', 'Producción', 'Equipos adicionales'];Sin Oscar
252;Caitlin Stryker;No data;[''];['Reparto', 'Equipos adicionales', 'Producción'];Sin Oscar
253;Cyrus Arnold;2003;[''];['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Equipos adicionales'];Sin Oscar
254;Kiran Kumar;1953;[''];['Reparto'];Sin Oscar
255;Timotejs Pelle Kalnins;No data;['Neon Spring'];['Reparto'];Sin oscar
