Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,ReGeneration,2010,5,tt1580346,Action
Movie,Desadrohi,2010,,tt1582489,Action
Movie,Mukkanti,2010,,tt1582557,Action
Movie,Rammbock,2010,9,tt1583356,Action
Movie,Rama Rama Krishna Krishna,2010,5,tt1582584,Action
Movie,Namo Venkatesa,2010,1,tt1582560,Action
Movie,Dance with Destiny,2010,6,tt1582399,Action
Movie,Simha,2010,4,tt1582604,Action
Movie,Khaleja,2010,10,tt1582519,Action
Movie,Seetharamula Kalyanam Lankalo,2010,1,tt1582601,Action
Movie,Adhurs,2010,1,tt1582466,Action
Movie,Bhavani IPS,2010,,tt1582477,Action
Movie,Taj Mahal,2010,3,tt1582617,Action
Movie,Varudu,2010,3,tt1582637,Action
Movie,Maryada Ramanna,2010,7,tt1582546,Action
Movie,Kedi,2010,2,tt1582524,Action
Movie,Bindaas,2010,2,tt1582478,Action
Movie,Yagam,2010,3,tt1582658,Action
Movie,The Long December,2010,7,tt1583754,Action
Movie,Zero Tolerance,2010,4,tt1584147,Action
Movie,Pohwasogeuro,2010,6,tt1587729,Action
Movie,Mahou shoujo ririkaru Nanoha the movie 1st,2010,1,tt1587216,Action
Movie,Gekijouban Fate/Stay Night: Unlimited Blade Works,2010,1,tt1587156,Action
Movie,Gekijouban Yuugiou: Chouyuugou! Jikuu o koeta kizuna,2010,1,tt1587157,Action
Movie,Ang-ma-reul bo-at-da,2010,8,tt1588170,Action
Movie,Isle of Dogs,2010,8,tt1588362,Action
Movie,Bush League,2010,10,tt1590297,Action
Movie,Untouchable,2010,2,tt1590231,Action
Movie,The Book of Zombie,2010,6,tt1590190,Action
Movie,My iz budushchego 2,2010,2,tt1590125,Action
Movie,Sentô shôjo: Chi no tekkamen densetsu,2010,5,tt1590796,Action
Movie,Alien vs. Ninja,2010,7,tt1592503,Action
Movie,"Sganarelle, or The Imaginary Cuckold",2010,1,tt1593780,Action
Movie,Jeepney,2010,por estrenar,tt1593707,Action
